row,Hospital,year1,year2,year3,year4,
2818,Total Uncompensated Care Charges,"$24,168,058","$26,516,992","$32,143,248","$26,481,724",
2819,Uncompensated Care Cost,"$11,553,395","$12,487,008","$14,964,636","$11,664,077",
2820,Uncompensated care % of total expenses,2.6%,2.4%,2.6%,2.0%,
2821,EMERGENCY DEPARTMENT VISITS,,,,,
2822,Emergency Room - Treated and Admitted,"12,551","13,561","13,560","15,645",
2823,Emergency Room - Treated and Discharged,"50,227","53,025","51,095","53,595",
2824,Total Emergency Room Visits,"62,778","66,586","64,655","69,240",
2826,87,,,,,
2828,SAINT MARY’S HOSPITAL,,,,,
2830,"Saint Mary’s Hospital, founded in 1907, is located in Waterbury. In FY 2009, the Hospital",,,,,
2831,"generated $9.3 million in income from operations and realized a $3.5 million non-operating gain,",,,,,
2832,"resulting in an excess of revenues over expenses of $12.8 million.  The Hospital reported 12,462",,,,,
2833,"discharges and 53,096 patient days while staffing 196 of its 196 available beds.  Reported below",,,,,
2834,"is a chart indicating all of the affiliates of Saint Mary’s Health System, Incorporated, the parent",,,,,
2835,"corporation of the Hospital, followed by various financial indicators and selected utilization",,,,,
2836,measures.,,,,,
2838,Saint Mary’s Health,,,,,
2839,"System, Inc.",,,,,
2841,St. Mary's Hospital,St. Mary's Hospital,,,,
2842,Foundation,Corporation,,,,
2845,Franklin Medical,Scovill Medical,"Surgical Center,",MRI Limited,"of Southbury,  LLC",Interinsurance
2846,"Group, P.C.","Group, P.C.",Limited Partnership,Partnership,(Imaging Services),Exchange
2848,St. Mary’s Indemnity,"Waterbury, Inc.",Regional Cancer,Primary Care,,
2849,"Company, LLC",Joint Cardiac Program,"Ctr, Inc.","Partners, P.C.",,
2853,Medicaid,,,Medicaid,,
2854,17%,Uninsured,,12%,Uninsured,
2856,Medical,2%,Assistance,,,
2857,Assistance,,2%,,,
2858,5%,,,,,
2861,Medicare,Government,47%,,39%,
2862,40%,36%,,,,
2864,Net Patient Revenue,"$159,715,000","$170,293,985","$183,704,311","$193,245,559",
2865,Other Operating Revenue,"$3,829,000","$12,508,015","$11,427,996","$8,145,638",
2866,Total Operating Revenue,"$163,544,000","$182,802,000","$195,132,307","$201,391,197",
2867,Total Operating Expenses,"$169,937,000","$178,133,199","$189,131,774","$192,136,903",
2868,Income/(Loss) from Operations,"-$6,393,000","$4,668,801","$6,000,533","$9,254,294",
2869,Non Operating Revenue,"$7,137,000","$7,188,613","$4,155,005","$3,520,657",
2870,Excess/(Deficiency) of Revenue over Expenses,"$744,000","$11,857,414","$10,155,538","$12,774,951",
2871,*Source: Hospital Audited Financial Statements,,,,,88
2873,KEY RESULTS - SAINT MARY’S HOSPITAL,,,,,
2875,PROFITABILITY SUMMARY,2006,2007,2008,2009,
2876,Hospital Operating Margins,-3.75%,2.46%,3.01%,4.52%,
2877,Hospital Non Operating Margins,4.18%,3.78%,2.08%,1.72%,
2878,Hospital Total Margins,0.44%,6.24%,5.10%,6.23%,
2879,COST DATA SUMMARY,,,,,
2880,Ratio of cost to charges,0.45,0.45,0.44,0.42,
2881,Private Payment to Cost Ratio,1.04,1.01,1.01,1.02,
2882,Medicare Payment to Cost Ratio,1.09,1.04,1.07,1.13,
2883,Medicaid Payment to Cost Ratio,0.59,0.63,0.66,0.65,
2884,LIQUIDITY MEASURES SUMMARY,,,,,
2885,Current Ratio,0.81,1.03,1.27,1.69,
2886,Days cash on hand,2,10,27,38,
2887,Days in patients accounts receivable,38,32,28,27,
2888,Average Payment Period,72,66,66,60,
2889,SOLVENCY MEASURES SUMMARY,,,,,
2890,Equity financing ratio,-0.1,11.7,9.2,7.4,
2891,Cash flow to total debt ratio,13.0,31.2,28.4,34.8,
2892,Long-term debt to Capitalization Ratio,100.4,64.2,67.3,71.3,
2893,* Financial Measures noted in green indicate a favorable variance from the statewide average.,,,,,
2894,Financial Measures noted in red indicate an unfavorable variance from the statewide average.,,,,,
2895,NET ASSETS SUMMARY,,,,,
2896,Hospital Unrestricted Net Assets,"-$18,632,000","-$1,326,115","-$1,435,860","-$4,907,594",
2897,Hospital Total Net Assets,"-$135,000","$18,709,902","$14,865,843","$11,261,310",
2898,UTILIZATION MEASURES SUMMARY,,,,,
2899,Patient Days,"60,036","61,241","58,081","53,096",
2900,Discharges,"13,000","13,169","13,153","12,462",
2901,ALOS,4.6,4.7,4.4,4.3,
2902,Staffed Beds,178,196,196,196,
2903,Available Beds,195,196,196,196,
2904,Licensed Beds,379,379,379,379,
2905,Occupancy of staffed beds,92%,86%,81%,74%,
2906,Occupancy of available beds,86%,84%,81%,74%,
2907,Full Time Equivalent Employees,"1,207.0","1,206.7","1,209.2","1,205.4",
2908,89,,,,,
2909,KEY RESULTS - SAINT MARY’S HOSPITAL,,,,,
2911,DISCHARGES,2006,2007,2008,2009,
2912,Non-Government (Including Uninsured),"4,461","4,463","4,241","3,956",
2913,Medicare,"5,420","5,363","5,470","5,300",
2914,Medical Assistance,"3,088","3,309","3,401","3,176",
2915,Medicaid,"2,610","2,855","2,847","2,603",
2916,Other Medical Assistance,478,454,554,573,
2917,Champus / TRICARE,31,34,41,30,
2918,Uninsured (Included in Non-Government),176,141,141,196,
2919,Total Discharges,"13,000","13,169","13,153","12,462",
2920,CASE MIX INDEX,,,,,
2921,Non-Government (Including Uninsured),1.09,1.1252,1.1558,1.1394,
2922,Medicare,1.474,1.4713,1.4974,1.5644,
2923,Medical Assistance,0.8736,0.8492,0.8863,0.9111,
2924,Medicaid,0.7925,0.7934,0.8409,0.8587,
2925,Other Medical Assistance,1.3165,1.1998,1.1198,1.149,
2926,Champus / TRICARE,0.5537,0.5346,0.6532,0.618,
2927,Uninsured (Included in Non-Government),1.0279,1.0453,1.0894,0.9896,
2928,Total Case Mix Index,1.1974,1.1953,1.2266,1.2607,
2929,UNCOMPENSATED CARE,,,,,
2930,Charity Care,"$1,089,917","$704,410","$584,465","$493,000",
2931,Bad Debts,"$7,898,208","$9,114,889","$10,446,296","$11,724,327",
2932,Total Uncompensated Care Charges,"$8,988,125","$9,819,299","$11,030,761","$12,217,327",
2933,Uncompensated Care Cost,"$4,083,006","$4,423,166","$4,906,173","$5,089,127",
2934,Uncompensated care % of total expenses,2.6%,2.5%,2.6%,2.6%,
2935,EMERGENCY DEPARTMENT VISITS,,,,,
2936,Emergency Room - Treated and Admitted,"8,059","8,135","8,246","7,575",
2937,Emergency Room - Treated and Discharged,"66,038","60,139","60,106","61,984",
2938,Total Emergency Room Visits,"74,097","68,274","68,352","69,559",
2940,90,,,,,
2942,HOSPITAL OF SAINT RAPHAEL,,,,,
2944,"The Hospital of Saint Raphael, founded in 1907, is located in New Haven.  In FY 2009, the",,,,,
2945,"Hospital experienced a $6.2 million loss from operations and realized a $20,000 non-operating",,,,,
2946,"gain, resulting in a deficiency of revenues over expenses of almost $6.2 million.  The Hospital",,,,,
2947,"reported 24,505 discharges and 130,965 patient days while staffing 417 of its 488 available beds.",,,,,
2948,"Reported below is a chart indicating all of the affiliates of  the Saint Raphael Healthcare System,",,,,,
2949,"Incorporated, the parent corporation of the Hospital, followed by various financial indicators and",,,,,
2950,selected utilization measures.,,,,,
2952,SAINT RAPHAEL,,,,,
2953,HEALTHCARE,,,,,
2954,"SYSTEM, INC.",,,,,
2956,DePaul Health,Hospital of Saint,Saint Regis Health,,Xavier Services,
2957,Services Corp.,Raphael,Saint Raphael,"Center, Inc. (dba Sister","Corporation, Inc.",
2959,"(Marketing Services - 1,3)","(2, 4)",,,-5,
2960,Center - L/T Care),,,,,
2962,Hamden Surgery,Lukan Indemnity,,,,
2963,"Center, LLC","Company, Ltd.",,,,
2964,(Inactive),,,,,
2966,Key:,,,,,
2967,Caritas Insurance,1 - MRI Partnership,,,,
2968,"VNA Services, Inc.","Company, Ltd.","2 - CT Hospital Laboratory Network,",,,
2971,HSR One for All,4 - CT CK Leasing (For Profit),,,,
2972,"Fund, Inc.",,,,,
2973,(Fund Raising/Management),,,,,
2975,Hospital Gross Revenue Payer Mix,Hospital Net Revenue Payer Mix,,,,
2976,Medicaid,,,,,
2977,Uninsured,Medicaid,,,,
2978,9%,,,,,
2979,3%,7%,Uninsured,,,
2981,Medical,,,,,
2982,Assistance,,,,,
2983,Assistance,,,,,
2984,1%,,,,,
2985,3%,,,,,
2987,Non-,,,,,
2992,HOSPITAL STATEMENT OF OPERATIONS SUMMARY,2006,2007,2008,2009,
2993,Net Patient Revenue,"$390,371,250","$404,894,538","$420,527,029","$456,208,821",
2994,Other Operating Revenue,"$17,523,370","$18,526,735","$26,118,209","$21,507,173",
2995,Total Operating Revenue,"$407,894,620","$423,421,273","$446,645,238","$477,715,994",
2996,Total Operating Expenses,"$418,601,308","$433,023,100","$463,724,841","$483,940,125",
2997,Income/(Loss) from Operations,"-$10,706,688","-$9,601,827","-$17,079,603","-$6,224,131",
2998,Non Operating Revenue,"$2,047,000","$2,405,727","-$287,397","$20,065",
2999,Excess/(Deficiency) of Revenue over Expenses,"-$8,659,688","-$7,196,100","-$17,367,000","-$6,204,066",
3000,91,*Source: Hospital Audited Financial Statements,,,,
3002,KEY RESULTS - HOSPITAL OF SAINT RAPHAEL,,,,,
3004,PROFITABILITY SUMMARY,2006,2007,2008,2009,
3005,Hospital Operating Margins,-2.61%,-2.25%,-3.83%,-1.30%,
3006,Hospital Non Operating Margins,0.50%,0.56%,-0.06%,0.00%,
3007,Hospital Total Margins,-2.11%,-1.69%,-3.89%,-1.30%,
3008,COST DATA SUMMARY,,,,,
3009,Ratio of cost to charges,0.39,0.39,0.38,0.39,
3010,Private Payment to Cost Ratio,1.13,1.13,1.16,1.16,
3011,Medicare Payment to Cost Ratio,0.98,0.95,0.89,0.87,
3012,Medicaid Payment to Cost Ratio,0.69,0.72,0.75,0.74,
3013,LIQUIDITY MEASURES SUMMARY,,,,,
3014,Current Ratio,1.36,1.54,0.62,0.68,
3015,Days cash on hand,28,30,13,16,
3016,Days in patients accounts receivable,49,49,47,45,
3017,Average Payment Period,65,60,119,113,
3018,SOLVENCY MEASURES SUMMARY,,,,,
3019,Equity financing ratio,22.2,20.0,10.8,-11.9,
3020,Cash flow to total debt ratio,6.3,7.8,0.8,7.4,
3021,Long-term debt to Capitalization Ratio,58.2,59.3,13.1,-11.6,
3022,* Financial Measures noted in green indicate a favorable variance from the statewide average.,,,,,
3023,Financial Measures noted in red indicate an unfavorable variance from the statewide average.,,,,,
3024,NET ASSETS SUMMARY,,,,,
3025,Hospital Unrestricted Net Assets,"$35,812,204","$25,504,147","-$2,505,487","-$59,114,372",
3026,Hospital Total Net Assets,"$62,511,925","$56,455,809","$29,118,877","-$30,730,319",
3027,UTILIZATION MEASURES SUMMARY,,,,,
3028,Patient Days,"134,580","135,071","134,266","130,965",
3029,Discharges,"24,985","26,188","24,586","24,505",
3030,ALOS,5.4,5.2,5.5,5.3,
3031,Staffed Beds,474,408,417,417,
3032,Available Beds,473,474,474,488,
3033,Licensed Beds,533,533,533,533,
3034,Occupancy of staffed beds,78%,91%,88%,86%,
3035,Occupancy of available beds,78%,78%,78%,74%,
3036,Full Time Equivalent Employees,"2,817.0","2,873.4","3,010.4","3,038.9",92
3038,KEY RESULTS - HOSPITAL OF SAINT RAPHAEL,,,,,
3040,DISCHARGES,2006,2007,2008,2009,
3041,Non-Government (Including Uninsured),"8,134","8,651","8,012","7,800",
3042,Medicare,"13,283","13,531","13,055","13,225",
3043,Medical Assistance,"3,552","3,977","3,496","3,447",
3044,Medicaid,"2,843","3,172","2,822","2,704",
3045,Other Medical Assistance,709,805,674,743,
3046,Champus / TRICARE,16,29,23,33,
3047,Uninsured (Included in Non-Government),341,407,381,405,
3048,Total Discharges,"24,985","26,188","24,586","24,505",
3049,CASE MIX INDEX,,,,,
3050,Non-Government (Including Uninsured),1.4556,1.402,1.4414,1.422,
3051,Medicare,1.5758,1.562,1.6154,1.6104,
3052,Medical Assistance,0.9534,0.9278,0.9808,0.9809,
3053,Medicaid,0.8858,0.8699,0.9326,0.9247,
3054,Other Medical Assistance,1.2245,1.1561,1.1824,1.1854,
3055,Champus / TRICARE,1.4574,1.2955,1.497,0.7866,
3056,Uninsured (Included in Non-Government),1.1428,1.1411,1.1634,1.0482,
3057,Total Case Mix Index,1.4481,1.4125,1.4683,1.4608,
3058,UNCOMPENSATED CARE,,,,,
3059,Charity Care,"$4,826,234","$4,898,589","$4,657,486","$4,656,971",
3060,Bad Debts,"$15,784,000","$19,981,016","$21,668,503","$20,632,999",
3061,Total Uncompensated Care Charges,"$20,610,234","$24,879,605","$26,325,989","$25,289,970",
3062,Uncompensated Care Cost,"$7,989,906","$9,687,040","$10,059,117","$9,742,216",
3063,Uncompensated care % of total expenses,2.1%,2.3%,2.3%,2.0%,
3064,EMERGENCY DEPARTMENT VISITS,,,,,
3065,Emergency Room - Treated and Admitted,"14,790","15,579","14,605","14,540",
3066,Emergency Room - Treated and Discharged,"37,163","35,317","34,158","38,833",
3067,Total Emergency Room Visits,"51,953","50,896","48,763","53,373",
3069,93,,,,,
3071,SAINT VINCENT’S MEDICAL CENTER,,,,,
3073,"Saint Vincent’s Medical Center, founded in 1903, is located in Bridgeport.  In FY 2009, the",,,,,
3074,Hospital generated $10.8 million in income from operations and experienced a $3.8 million non-,,,,,
3075,"operating loss, resulting in an excess of  revenues over expenses of $7.0 million.  The Hospital",,,,,
3076,"reported 21,743 discharges and 125,447 patient days while staffing 415 of its 423 available beds.",,,,,
3077,Reported below is a chart indicating all of the affiliates of Saint Vincent’s Health Services,,,,,
3078,"Corporation, the parent corporation of the Hospital, followed by various financial indicators and",,,,,
3079,"selected utilization measures. St. Vincent’s Medical Center is also a member of Ascension Health,",,,,,
3080,a nationally based Catholic health system.,,,,,
3082,Ascension Health,,,,,
3084,ST. VINCENT'S,,,,,
3085,HEALTH SERVICES,,,,,
3086,CORPORATION,,,,,
3088,St. Vincent's,St. Vincent's Special,St. Vincent's Medical,St. Vincent's Medical,"Vincentures, Inc.",
3089,"Development, Corp.",Needs Center,Center,Center Foundation,(Real Estate),
3090,(Real Estate),(Health Education Services),,{Inactive},,
3091,Hall-Brooke Behavioral,St. Vincent's Medical,St. Vincent's College,,,
3092,"Health Services, Inc.",Center Auxilliary,(Health Education),,,
3093,(Mental Health Facility),,,For Profit Entity,,
3095,Hospital Gross Revenue Payer Mix,,,Hospital Net Revenue Payer Mix,,
3097,Medicaid,Uninsured,,9%,,
3098,11%,5%,,,Uninsured,
3100,Medical,,Assistance,,,
3101,Assistance,,1%,,,
3102,3%,Non-,,,,
3105,Medicare,,46%,,43%,
3106,49%,,,,,
3107,HOSPITAL STATEMENT OF OPERATIONS SUMMARY,2006,2007,2008,2009,
3108,Net Patient Revenue,"$274,428,000","$288,808,279","$309,364,455","$341,788,581",
3109,Other Operating Revenue,"$11,766,000","$12,926,187","$13,485,455","$11,020,419",
3110,Total Operating Revenue,"$286,194,000","$301,734,466","$322,849,910","$352,809,000",
3111,Total Operating Expenses,"$274,741,000","$287,076,522","$302,743,320","$341,987,000",
3112,Income/(Loss) from Operations,"$11,453,000","$14,657,944","$20,106,590","$10,822,000",
3113,Non Operating Revenue,"$16,048,000","$33,968,887","-$34,584,733","-$3,815,000",
3114,Excess/(Deficiency) of Revenue over Expenses,"$27,501,000","$48,626,831","-$14,478,143","$7,007,000",
3115,*Source: Hospital Audited Financial Statements,,,,,94
3117,KEY RESULTS - SAINT VINCENT’S MEDICAL CENTER,,,,,
3119,PROFITABILITY SUMMARY,2006,2007,2008,2009,
3120,Hospital Operating Margins,3.79%,4.37%,6.98%,3.10%,
3121,Hospital Non Operating Margins,5.31%,10.12%,-12.00%,-1.09%,
3122,Hospital Total Margins,9.10%,14.49%,-5.02%,2.01%,
3123,COST DATA SUMMARY,,,,,
3124,Ratio of cost to charges,0.44,0.45,0.41,0.40,
3125,Private Payment to Cost Ratio,1.22,1.22,1.29,1.28,
3126,Medicare Payment to Cost Ratio,1.04,0.91,0.93,0.89,
3127,Medicaid Payment to Cost Ratio,0.67,0.67,0.65,0.74,
3128,LIQUIDITY MEASURES SUMMARY,,,,,
3129,Current Ratio,1.30,1.31,1.37,1.26,
3130,Days cash on hand,19,17,18,21,
3131,Days in patients accounts receivable,42,34,37,34,
3132,Average Payment Period,59,62,64,62,
3133,SOLVENCY MEASURES SUMMARY,,,,,
3134,Equity financing ratio,74.0,73.9,75.1,67.3,
3135,Cash flow to total debt ratio,42.1,62.3,2.1,20.3,
3136,Long-term debt to Capitalization Ratio,14.8,12.8,13.0,16.6,
3137,* Financial Measures noted in green indicate a favorable variance from the statewide average.,,,,,
3138,Financial Measures noted in red indicate an unfavorable variance from the statewide average.,,,,,
3139,NET ASSETS SUMMARY,,,,,
3140,Hospital Unrestricted Net Assets,"$303,072,000","$339,903,000","$334,148,000","$314,991,000",
3141,Hospital Total Net Assets,"$326,964,000","$378,665,000","$380,811,000","$356,510,000",
3142,UTILIZATION MEASURES SUMMARY,,,,,
3143,Patient Days,"100,234","100,497","104,524","125,447",
3144,Discharges,"19,674","19,434","20,159","21,743",
3145,ALOS,5.1,5.2,5.2,5.8,
3146,Staffed Beds,336,336,340,415,
3147,Available Beds,356,350,349,423,
3148,Licensed Beds,444,444,444,520,
3149,Occupancy of staffed beds,82%,82%,84%,83%,
3150,Occupancy of available beds,77%,79%,82%,81%,
3151,Full Time Equivalent Employees,"1,720.0","1,734.9","1,829.4","2,049.6",
3152,95,,,,,
3153,KEY RESULTS - SAINT VINCENT’S MEDICAL CENTER,,,,,
3155,DISCHARGES,2006,2007,2008,2009,
3156,Non-Government (Including Uninsured),"7,482","7,156","7,538","8,200",
3157,Medicare,"9,173","9,179","9,522","9,746",
3158,Medical Assistance,"3,008","3,093","3,087","3,779",
3159,Medicaid,"2,666","2,756","2,656","3,120",
3160,Other Medical Assistance,342,337,431,659,
3161,Champus / TRICARE,11,6,12,18,
3162,Uninsured (Included in Non-Government),777,808,950,955,
3163,Total Discharges,"19,674","19,434","20,159","21,743",
3164,CASE MIX INDEX,,,,,
3165,Non-Government (Including Uninsured),1.2401,1.3132,1.292,1.1909,
3166,Medicare,1.5618,1.5429,1.5366,1.5299,
3167,Medical Assistance,0.9491,0.9593,0.9981,0.9634,
3168,Medicaid,0.89,0.9284,0.9639,0.9125,
3169,Other Medical Assistance,1.4098,1.2119,1.2087,1.2046,
3170,Champus / TRICARE,0.8812,1.3999,0.697,1.1109,
3171,Uninsured (Included in Non-Government),1.0404,1.0385,1.0992,1.0987,
3172,Total Case Mix Index,1.3454,1.3654,1.3622,1.3033,
3173,UNCOMPENSATED CARE,,,,,
3174,Charity Care,"$5,863,608","$5,478,066","$5,784,833","$8,833,000",
3175,Bad Debts,"$15,942,876","$22,654,037","$26,273,077","$30,554,626",
3176,Total Uncompensated Care Charges,"$21,806,484","$28,132,103","$32,057,910","$39,387,626",
3177,Uncompensated Care Cost,"$9,691,054","$12,688,863","$13,269,472","$15,619,940",
3178,Uncompensated care % of total expenses,3.8%,4.4%,4.4%,4.6%,
3179,EMERGENCY DEPARTMENT VISITS,,,,,
3180,Emergency Room - Treated and Admitted,"11,633","11,570","12,721","10,882",
3181,Emergency Room - Treated and Discharged,"46,909","48,718","47,919","50,431",
3182,Total Emergency Room Visits,"58,542","60,288","60,640","61,313",
3184,96,,,,,
3186,STAMFORD HOSPITAL,,,,,
3188,"The Stamford Hospital, founded in 1896, is located in Stamford.  In FY 2009, the Hospital",,,,,
3189,generated $18.7 million in income from operations and experienced a $1 million non-operating,,,,,
3190,"loss, resulting in an excess of revenues over expenses of $17.7 million.  The Hospital reported",,,,,
3191,"14,888 discharges and 75,272 patient days while staffing 321 of its 330 available beds.   Reported",,,,,
3192,"below is a chart indicating all of the affiliates of Stamford Health System, the parent corporation",,,,,
3193,"of the Hospital, followed by various financial indicators and selected utilization measures.",,,,,
3195,STAMFORD,,,,,
3196,HEALTH SYSTEM,,,,,
3198,Stamford Hospital,Continuing Care,The Stamford,Miller Hall Medical,Stamford Health,
3200,Foundation,Greater Stamford,Hospital,(Real Estate),{Inactive},
3202,Fairfield County,Stamford OB/GYN,Healthstar Indemnity,,,
3203,"Surgical Specialists,","Associates, P.C.","Company, Ltd",,,
3204,P.C.,,,,,
3205,Fairfield County,,,,,
3206,Obstetrics &,"Stamford NSC, LLC",,For Profit Entity,,
3207,"Gynecology, LLC",,,,,
3208,Fairfield County,Premier Medical,,,,
3209,"Primary Care, P.C.","Group. P.C,",,,,
3211,Hospital Gross Revenue Payer Mix,,Hospital Net Revenue Payer Mix,,,
3213,Medicaid,Uninsured,6%,,,
3214,9%,,Medical,Uninsured,,
3217,Medical,,,,,
3218,1%,,,,,
3219,Assistance,,,,,
3220,3%,,,,,
3221,Non-,,,,,
3222,Government,Medicare,,,,
3223,46%,Non-,,,,
3226,HOSPITAL STATEMENT OF OPERATIONS SUMMARY,2006,2007,2008,2009,
3227,Net Patient Revenue,"$316,588,000","$333,269,000","$381,968,990","$416,937,724",
3228,Other Operating Revenue,"$18,401,000","$18,398,213","$23,149,832","$27,261,542",
3229,Total Operating Revenue,"$334,989,000","$351,667,213","$405,118,822","$444,199,266",
3230,Total Operating Expenses,"$317,707,000","$341,537,208","$389,133,838","$425,519,879",
3231,Income/(Loss) from Operations,"$17,282,000","$10,130,005","$15,984,984","$18,679,387",
3232,Non Operating Revenue,"$3,227,000","$3,300,297","-$4,206,071","-$988,395",
3233,Excess/(Deficiency) of Revenue over Expenses,"$20,509,000","$13,430,302","$11,778,913","$17,690,992",
3234,97,*Source: Hospital Audited Financial Statements,,,,
3236,KEY RESULTS - STAMFORD HOSPITAL,,,,,
3238,PROFITABILITY SUMMARY,2006,2007,2008,2009,
3239,Hospital Operating Margins,5.11%,2.85%,3.99%,4.21%,
3240,Hospital Non Operating Margins,0.95%,0.93%,-1.05%,-0.22%,
3241,Hospital Total Margins,6.06%,3.78%,2.94%,3.99%,
3242,COST DATA SUMMARY,,,,,
3243,Ratio of cost to charges,0.39,0.40,0.38,0.36,
3244,Private Payment to Cost Ratio,1.38,1.25,1.28,1.32,
3245,Medicare Payment to Cost Ratio,0.83,0.69,0.64,0.63,
3246,Medicaid Payment to Cost Ratio,0.66,0.49,0.59,0.61,
3247,LIQUIDITY MEASURES SUMMARY,,,,,
3248,Current Ratio,1.58,1.39,1.15,1.19,
3249,Days cash on hand,18,20,7,9,
3250,Days in patients accounts receivable,47,42,43,43,
3251,Average Payment Period,48,56,58,56,
3252,SOLVENCY MEASURES SUMMARY,,,,,
3253,Equity financing ratio,40.7,42.4,38.4,20.4,
3254,Cash flow to total debt ratio,30.5,24.4,20.5,26.0,
3255,Long-term debt to Capitalization Ratio,43.1,39.8,44.0,60.9,
3256,* Financial Measures noted in green indicate a favorable variance from the statewide average.,,,,,
3257,Financial Measures noted in red indicate an unfavorable variance from the statewide average.,,,,,
3258,NET ASSETS SUMMARY,,,,,
3259,Hospital Unrestricted Net Assets,"$105,797,000","$110,051,759","$111,130,289","$42,615,000",
3260,Hospital Total Net Assets,"$130,173,000","$142,777,414","$141,187,158","$70,813,000",
3261,UTILIZATION MEASURES SUMMARY,,,,,
3262,Patient Days,"77,308","73,908","76,971","75,272",
3263,Discharges,"17,083","16,672","15,856","14,888",
3264,ALOS,4.5,4.4,4.9,5.1,
3265,Staffed Beds,319,319,319,321,
3266,Available Beds,330,330,330,330,
3267,Licensed Beds,330,330,330,330,
3268,Occupancy of staffed beds,66%,63%,66%,64%,
3269,Occupancy of available beds,64%,61%,64%,62%,
3270,Full Time Equivalent Employees,"1,774.0","1,774.5","1,879.3","1,898.4",98
3272,KEY RESULTS - STAMFORD HOSPITAL,,,,,
3274,DISCHARGES,2006,2007,2008,2009,
3275,Non-Government (Including Uninsured),"8,953","8,219","7,456","7,028",
3276,Medicare,"5,570","5,792","5,763","5,093",
3277,Medical Assistance,"2,553","2,653","2,630","2,756",
3278,Medicaid,"2,182","2,218","2,209","2,285",
3279,Other Medical Assistance,371,435,421,471,
3280,Champus / TRICARE,7,8,7,11,
3281,Uninsured (Included in Non-Government),790,686,590,590,
3282,Total Discharges,"17,083","16,672","15,856","14,888",
3283,CASE MIX INDEX,,,,,
3284,Non-Government (Including Uninsured),0.8899,0.9448,1.0412,1.0484,
3285,Medicare,1.3275,1.3283,1.5431,1.5767,
3286,Medical Assistance,0.794,0.7679,0.9141,0.9668,
3287,Medicaid,0.7531,0.719,0.857,0.8826,
3288,Other Medical Assistance,1.0345,1.0172,1.214,1.3755,
3289,Champus / TRICARE,3.2722,0.7402,1.3094,1.0287,
3290,Uninsured (Included in Non-Government),0.913,1.0047,1.1372,1.2308,
3291,Total Case Mix Index,1.0192,1.0498,1.2027,1.214,
3292,UNCOMPENSATED CARE,,,,,
3293,Charity Care,"$8,348,990","$14,266,408","$15,715,201","$11,909,791",
3294,Bad Debts,"$32,901,387","$34,398,592","$44,824,866","$47,934,677",
3295,Total Uncompensated Care Charges,"$41,250,377","$48,665,000","$60,540,067","$59,844,468",
3296,Uncompensated Care Cost,"$16,045,997","$19,424,296","$23,253,123","$21,570,630",
3297,Uncompensated care % of total expenses,5.8%,5.7%,6.0%,5.1%,
3298,EMERGENCY DEPARTMENT VISITS,,,,,
3299,Emergency Room - Treated and Admitted,"8,550","8,795","8,327","7,214",
3300,Emergency Room - Treated and Discharged,"34,605","35,818","37,113","39,086",
3301,Total Emergency Room Visits,"43,155","44,613","45,440","46,300",
3303,99,,,,,
3305,WATERBURY HOSPITAL,,,,,
3307,"The Waterbury Hospital, opened in 1890, is located in Waterbury.  In FY 2009, the Hospital",,,,,
3308,"experienced a $5.0 million loss from operations and realized a $3.1 million non-operating gain,",,,,,
3309,"resulting in a deficiency of revenues over expenses of $1.9 million.  The Hospital reported 13,916",,,,,
3310,"discharges and 67,682 patient days while staffing 214 of its 292 available beds.  Reported below",,,,,
3311,"is a chart indicating all of the affiliates of Greater Waterbury Health Network, the parent",,,,,
3312,"corporation of the Hospital, followed by various financial indicators and selected utilization",,,,,
3313,measures.,,,,,
3315,Alliance Medical,GREATER,,,,
3316,"Group, PC",,WATERBURY,,,
3317,Medical Practices,,HEALTH NETWORK,,,
3318,Greater Waterbury,,,Children’s Center of,,
3319,VNA Health at,Health Services,Waterbury Hospital,Greater Waterbury,Greater Waterbury,
3320,"Home, Inc. (Home",Acute Care,Mgt. Resources,,,
3321,Health & Hospice),(Inactive - Affiliate,(PPM),"Health Network, Inc.",,
3322,Support Services),,,(Other Health Services),,
3323,Heart Ctr. of Greater,Greater Waterbury,Valley Imaging,,,
3324,"Waterbury, Inc.","Imaging Center,","Partners, LLC",,,
3325,Joint Cardiac Program,LLP MRI,(MRI / CT),,,
3326,with St. Mary’s Hospital,,,,,
3328,Harold Leever,,,,,
3329,Regional Cancer,Access Rehab,,,,
3330,"Centers, LLC.",,,,,
3331,"Center, Inc.",,,,,
3333,Reed Ambulatory,,,,,
3334,Surgery Center,"Imaging Partners,",,,,
3335,LLC,,,,,
3336,(Inactive),For Profit Entity,,,,
3338,Hospital Gross Revenue Payer Mix,Hospital Net Revenue Payer Mix,,,,
3340,Medicaid,,,,,
3341,Uninsured,10%,2%,,,
3342,13%,,,,,
3343,2%,,,,,
3345,Medical,Assistance,,,,
3346,Assistance,1%,,,,
3347,4%,,Non-,,,
3348,Non-,,,,,
3349,Government,,,,,
3350,Government,,,,,
3351,40%,,,,,
3352,33%,Medicare,,,,
3353,Medicare,47%,,,,
3354,48%,,,,,
3355,HOSPITAL STATEMENT OF OPERATIONS SUMMARY,2006,2007,2008,2009,
3356,Net Patient Revenue,"$211,079,163","$222,219,540","$221,441,319","$239,928,524",
3357,Other Operating Revenue,"$8,302,273","$9,187,087","$11,605,995","$8,617,813",
3358,Total Operating Revenue,"$219,381,436","$231,406,627","$233,047,314","$248,546,337",
